lei,legal_name,review_priority_score,review_reason,review_status,entity_type,review_note,coverage_gap_priority_score,reason_flags,uie_country,uie_source,evidence_tier,uie_confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,direct_parent_name,direct_parent_country,ultimate_parent_name,ultimate_parent_country,ctos_registered_malaysia,ctos_name,ctos_match_score,ctos_match_method,override_reason,source_url,source_note,city,size_proxy,has_parent_link,has_ultimate_link,foreign_parent,is_non_consolidating,has_exception_filed,has_inferred_parent,in_address_cluster
254900YGFFTQS4GX6H19,Great Eastern General Insurance (Malaysia) Berhad,0.5391,verify_name_matched_parent,todo,operating_or_holding_company,,0.4590731048434652,inferred_parent_match;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase1_name_match,C_name_match_high,1.0,SG,0.9968,0.9949,SG;US;DE,0.9968;0.0019;0.0006,,,,,0.0,,,,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,1,0
2549006SLU3EWMCLT331,IFAST CAPITAL SDN. BHD.,0.5391,verify_name_matched_parent,todo,operating_or_holding_company,,0.4590731048434652,inferred_parent_match;shared_address_cluster;missing_direct_parent;missing_ultimate_parent,SG,phase1_name_match,C_name_match_high,1.0,SG,0.9954,0.9933,SG;US;GB,0.9954;0.0022;0.0012,,,,,0.0,,,,,,,Kuala Lumpur,1.3976854846715725,0,0,0,0,0,1,1
213800HX2VUZIKE73746,JOHNSON CONTROLS HITACHI AIR CONDITIONING MALAYSIA SDN. BHD.,0.5391,verify_name_matched_parent,todo,operating_or_holding_company,,0.4590731048434652,inferred_parent_match;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,US,phase1_name_match,C_name_match_high,1.0,US,0.9985,0.9979,US;SG;EUROPE,0.9985;0.0006;0.0006,,,,,0.0,,,,,,,BANDAR BARU BANGI,1.3976854846715725,0,0,0,1,1,1,0
YDU2S9478U5ID1CGWI97,MEAD JOHNSON NUTRITION (MALAYSIA) SDN. BHD.,0.5391,verify_name_matched_parent,todo,operating_or_holding_company,,0.4590731048434652,inferred_parent_match;shared_address_cluster;missing_direct_parent;missing_ultimate_parent,US,phase1_name_match,C_name_match_high,1.0,US,0.9984,0.9977,US;GB;DE,0.9984;0.0007;0.0005,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,0,1,1,1
549300JTJBG2QBI8KD48,STANDARD CHARTERED BANK MALAYSIA BERHAD,0.5391,verify_name_matched_parent,todo,financial_institution,,0.4590731048434652,inferred_parent_match;shared_address_cluster;missing_direct_parent;missing_ultimate_parent,GB,phase1_name_match,C_name_match_high,1.0,GB,0.9939,0.9899,GB;DE;US,0.9939;0.004;0.0016,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,0,0,1,1
549300Q00QU7BNARF391,STANDARD CHARTERED SAADIQ BERHAD,0.5391,verify_name_matched_parent,todo,operating_or_holding_company,,0.4590731048434652,inferred_parent_match;shared_address_cluster;missing_direct_parent;missing_ultimate_parent,GB,phase1_name_match,C_name_match_high,1.0,GB,0.9908,0.9853,GB;SG;US,0.9908;0.0055;0.0018,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,0,0,1,1
984500F08D9C68CECE57,4XHUB LIMITED,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,OFFSHORE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9988,OFFSHORE,0.9988,0.9983,OFFSHORE;GB;US,0.9988;0.0005;0.0005,,,,,0.0,,,,,,,Labuan,1.3976854846715725,0,0,0,0,1,0,1
984500E1A4LD99YF1034,9Media Online Inc.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,GB,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9965,GB,0.9965,0.9938,GB;US;DE,0.9965;0.0027;0.0005,,,,,0.0,,,,,,,Jalan Ranca-Ranca,1.3976854846715725,0,0,0,0,1,0,1
549300MLEOKFSZGZXK65,ABSOLUTE ANALOGUE INC.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,GB,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.7989,GB,0.7989,0.6774,GB;US;DE,0.7989;0.1215;0.0741,,,,,0.0,,,,,,,LABUAN,1.3976854846715725,0,0,0,0,1,0,1
2549002ET8MOSBI6PR30,AET TANKERS VLCC III PTE. LTD.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,GB,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.6895,GB,0.6895,0.3946,GB;EUROPE;SG,0.6895;0.295;0.0093,,,,,0.0,,,,,,,Labuan,1.3976854846715725,0,0,0,0,1,0,1
