host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
SG,213800NA1CN9LS42ZC95,OURIN HOLDING PTE. LTD.,SG,,,,,,,,,,,213800YCDIODNYQ3KN91,CHURCHILL CAPITAL LTD.,BM,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NATURAL_PERSONS,,,,,,213800YCDIODNYQ3KN91,CHURCHILL CAPITAL LTD.,BM,0.6,US,0.3256,0.0666,US;GB;IN,0.3256;0.259;0.1563,0,,,,,,,,
SG,9845005799E5E97EE355,OVERSEAS CHARTERING PTE LTD,SG,,,,,,,,,,,254900N4SLUMW4XUYY11,騰訊控股有限公司,KY,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_KNOWN_PERSON,,,,,,254900N4SLUMW4XUYY11,騰訊控股有限公司,KY,0.6,GB,0.2884,0.0097,GB;IN;VG,0.2884;0.2787;0.1864,0,,,,,,,,
SG,254900OTH3AUF4R5B675,OVERTURE POINT PTE. LTD.,SG,,,,,,,,,,,529900RTERU3X7G3D672,NEXTDC LIMITED,AU,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NATURAL_PERSONS,,,,,,529900RTERU3X7G3D672,NEXTDC LIMITED,AU,0.6,US,0.2927,0.0795,US;GB;KY,0.2927;0.2132;0.166,0,,,,,,,,
SG,25490065X7FWBZE39366,OVO INVESTMENT PTE. LTD.,SG,,,,,,,,,,,254900CBOBJXZV93MP29,CAPITALAND INDIA LOGISTICS II PTE. LTD.,SG,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,254900CBOBJXZV93MP29,CAPITALAND INDIA LOGISTICS II PTE. LTD.,SG,0.6,GB,0.4646,0.1485,GB;OTHER;KY,0.4646;0.3161;0.1267,0,,,,,,,,
SG,254900YGFFBT80Y20754,OWL CAPITAL MANAGEMENT PTE. LTD.,SG,,,,,,,,,,,54930056AV8K6CRJTC83,CAMELOT UK BIDCO LIMITED,GB,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_LEI,,,,,,54930056AV8K6CRJTC83,CAMELOT UK BIDCO LIMITED,GB,0.6,GB,0.2169,0.0679,GB;US;HK,0.2169;0.149;0.1148,0,,,,,,,,
SG,984500B2B57Z2ABCE352,OXALIS SHIPPING CO. PTE. LTD.,SG,,,,,,,,,,,254900EIJA0A39C5SO15,長榮海運股份有限公司,TW,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_KNOWN_PERSON,,,,,,254900EIJA0A39C5SO15,長榮海運股份有限公司,TW,0.6,HK,0.2954,0.1687,HK;DE;SG,0.2954;0.1267;0.1165,0,,,,,,,,
SG,2138003RM594MPB8PB34,OXBOW CAPITAL MANAGEMENT (SG) PTE. LIMITED,SG,,,,,,,,,,,213800T66DRTE6O6BV87,PGS ASA,NO,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NON_PUBLIC,,,,,,213800T66DRTE6O6BV87,PGS ASA,NO,0.6,AU,0.3679,0.0852,AU;GB;US,0.3679;0.2827;0.2133,0,,,,,,,,
SG,549300FH6QT5Q808WS39,OXIGO PTE. LTD.,SG,,,,,,,,,,,549300GCEDD8YCF5WU84,MOODY'S CORPORATION,US,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,549300GCEDD8YCF5WU84,MOODY'S CORPORATION,US,0.6,OFFSHORE,0.9201,0.9011,OFFSHORE;US;HK,0.9201;0.019;0.013,0,,,,,,,,
SG,2549006UJFIZSRQNTV80,OXLEY BERYL PTE. LTD.,SG,,,,,,,,,,,52990088V2922OUKG877,"BlueEarth SF Global Impact Fund, S.C.A., SICAV-RAIF",LU,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,52990088V2922OUKG877,"BlueEarth SF Global Impact Fund, S.C.A., SICAV-RAIF",LU,0.6,DE,0.3483,0.0211,DE;IN;EUROPE,0.3483;0.3272;0.0895,0,,,,,,,,
SG,254900N166WB761X8Z35,OXPROP CREDIT PTE. LTD.,SG,,,,,,,,,,,2549000TAL667VJTUW20,Oxley Holdings Limited,SG,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NATURAL_PERSONS,,,,,,2549000TAL667VJTUW20,Oxley Holdings Limited,SG,0.6,VG,0.4299,0.2308,VG;GB;US,0.4299;0.1991;0.1278,0,,,,,,,,
SG,98450014F6555E2C6A19,OYSTER RENEWABLE ENERGY HOLDINGS PTE. LTD.,SG,,,,,,,,,,,529900RTERU3X7G3D672,NEXTDC LIMITED,AU,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_KNOWN_PERSON,,,,,,529900RTERU3X7G3D672,NEXTDC LIMITED,AU,0.6,US,0.2365,0.0177,US;GB;AU,0.2365;0.2188;0.1609,0,,,,,,,,
SG,254900X8K8E8YFNO6S33,OZION TECH PTE. LTD.,SG,,,,,,,,,,,254900A471SL0Z6E1X90,JAPFA PTE. LTD.,SG,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NON_PUBLIC,,,,,,254900A471SL0Z6E1X90,JAPFA PTE. LTD.,SG,0.6,US,0.4191,0.1973,US;KY;JP,0.4191;0.2218;0.1179,0,,,,,,,,
SG,254900OJBLER2DYVWD06,Oak Markets Pte. Ltd.,SG,,,,,,,,,,,254900790QHMJCXF1H61,PB VESSELS HOLDING SG PTE. LTD.,SG,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_LEI,,,,,,254900790QHMJCXF1H61,PB VESSELS HOLDING SG PTE. LTD.,SG,0.6,IN,0.5737,0.3514,IN;US;EUROPE,0.5737;0.2223;0.0426,0,,,,,,,,
SG,254900MO2PHA298XUY16,Oaktree Capital Management Pte. Ltd.,SG,,,,,,,,,,,969500AV7YBZVX1BE314,AXA GROUP OPERATIONS,FR,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,969500AV7YBZVX1BE314,AXA GROUP OPERATIONS,FR,0.6,AU,0.6524,0.4673,AU;US;DE,0.6524;0.185;0.0877,0,,,,,,,,
SG,2549002Q6OTR3ACV3B46,Oaktree Opportunities (Singapore) Holdings Pte. Ltd.,SG,,,,,,,,,,,969500AV7YBZVX1BE314,AXA GROUP OPERATIONS,FR,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,969500AV7YBZVX1BE314,AXA GROUP OPERATIONS,FR,0.6,US,0.865,0.8121,US;AU;IN,0.865;0.0529;0.0283,0,,,,,,,,
SG,254900JRWDVTGH29II03,Oaktree Opportunities XI (Singapore) Holdings Pte. Ltd.,SG,,,,,,,,,,,969500AV7YBZVX1BE314,AXA GROUP OPERATIONS,FR,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,969500AV7YBZVX1BE314,AXA GROUP OPERATIONS,FR,0.6,US,0.7857,0.753,US;IE;KY,0.7857;0.0326;0.0301,0,,,,,,,,
SG,254900QH3EK3A52RVR93,Oaktree Opportunities XII (Singapore) Holdings Pte. Ltd.,SG,,,,,,,,,,,969500AV7YBZVX1BE314,AXA GROUP OPERATIONS,FR,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,969500AV7YBZVX1BE314,AXA GROUP OPERATIONS,FR,0.6,US,0.552,0.3602,US;SG;GB,0.552;0.1918;0.064,0,,,,,,,,
SG,254900WWNGXQFW5JNO45,Obsidian Media Credit Fund I,SG,,,,,,,,,,,988400IES4EIG7O06940,(주) 엘지화학,KR,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,988400IES4EIG7O06940,(주) 엘지화학,KR,0.6,GB,0.3259,0.0871,GB;DE;KY,0.3259;0.2388;0.0857,0,,,,,,,,
