direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
IN,ID,EUROPE,ID,549300VQSG7KYQLHLH50,PT BASF CARE CHEMICALS INDONESIA,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7168,0,1,,,,0.0
IN,ID,EUROPE,ID,529900YWLCPTEZW0II83,"PT. Schlumberger Geophysics Nusantara, PT",ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7167,0,1,,,,0.0
IN,ID,EUROPE,ID,254900MMXRRVX4RZG605,PT. Sumber Kencana Inhu,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7166,0,1,,,,0.0
IN,ID,EUROPE,ID,529900NX0EYVOH3TJZ08,SUMMARECON AGUNG TBK,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7159,0,1,,,,0.0
IN,ID,EUROPE,ID,254900WQG5N416AU2X90,PT MEGAH SURYA PERTIWI,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7157,0,1,,,,0.0
IN,ID,EUROPE,ID,254900ECHNBLKWODKJ22,PT ANDERIO PERMATA SEMESTA,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7149,0,1,,,,0.0
IN,ID,EUROPE,ID,254900UJSGYIL5JU7B49,Bank of America National Association,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7144,0,1,,,,0.0
IN,ID,EUROPE,ID,529900P2WAH7XA87OI24,PT Adaro Energy Tbk,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7137,0,1,,,,0.0
IN,ID,EUROPE,ID,529900RM3VNQRMDJ7M38,PT MAYORA INDAH TBK,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7137,0,1,,,,0.0
IN,ID,EUROPE,ID,254900YJOUDT9FUSHL33,PT Indosat Tbk,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7133,0,1,,,,0.0
IN,ID,EUROPE,ID,894500J9HPI39FREK316,PT INFOKOM INTERNUSA,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7131,0,1,,,,0.0
IN,ID,EUROPE,ID,2549003G28XAARA71U49,Kasongan Bumi Kencana PT,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7124,0,1,,,,0.0
IN,ID,OTHER,ID,984500EAB91C9B52CC43,PT Hamaden Indonesia Manufacturing,ID,OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7123,0,1,,,,0.0
IN,ID,OTHER,ID,98450097A9D6970B7345,PT Flextronics Technology Indonesia,ID,OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7122,0,1,,,,0.0
IN,ID,EUROPE,ID,254900ZUIWP5KVWAAA98,PT Gesit Perkasa,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7118,0,1,,,,0.0
IN,ID,EUROPE,ID,254900UXECELWPPCMF59,PT Panarub Industry,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7112,0,1,,,,0.0
IN,ID,EUROPE,ID,254900ON8S1K5BNRNA49,STARCH SOLUTION INTERNASIONAL. PT,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.711,0,1,,,,0.0
IN,ID,EUROPE,ID,894500S2IP8ERXKM8E80,PT Persada Inti Sejahtera,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7108,0,1,,,,0.0
IN,ID,EUROPE,ID,213800AU7L7N3XASDG83,PT SATYARAYA KERAHMINDOINDA,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7107,0,1,,,,0.0
IN,ID,EUROPE,ID,254900SDBEPZKOIOT438,"SANGGAR SARANA BAJA, PT",ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7096,0,1,,,,0.0
IN,ID,EUROPE,ID,254900TEBO2828FV5Z70,"Jakarta Tank Terminal, PT",ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.709,0,1,,,,0.0
IN,ID,EUROPE,ID,254900TBASD7T48GQU02,P.T. Sri Rejeki Isman,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7085,0,1,,,,0.0
IN,ID,EUROPE,ID,254900ANWA2CBUM16Y23,PT ABB Sakti Industri,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.707,0,1,,,,0.0
IN,ID,EUROPE,ID,254900SI36BLITJATS92,Lembaga Pengelola Dana Pendidikan,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7064,0,1,,,,0.0
IN,ID,EUROPE,ID,52990014FJAD8ZZK2F90,PT Schlumberger Bhakti Nusantara,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7062,0,1,,,,0.0
IN,ID,EUROPE,ID,529900KMD8L6XX35BT35,PT. Dowell Anadrill Schlumberger,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7062,0,1,,,,0.0
IN,ID,OTHER,ID,984500PFFBJ84D800F08,PT Clariant Specialties Indonesia,ID,OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7056,0,1,,,,0.0
IN,ID,EUROPE,ID,213800TADJDCPRWBS284,PT. SIBELCO LAUTAN MINERALS,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7056,0,1,,,,0.0
IN,ID,EUROPE,ID,254900EV5JZKVXIBIB09,"MUFG Bank Ltd, Jakarta Branch",ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7043,0,1,,,,0.0
IN,ID,EUROPE,ID,254900466K7U4KLA8I66,PT Trisensa Mineral Utama,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7039,0,1,,,,0.0
IN,ID,EUROPE,ID,254900CLXCIVO1KCF078,PT Barito Pacific Tbk,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7029,0,1,,,,0.0
IN,ID,EUROPE,ID,254900BV79CZA0CIQO39,PT South Pacific Viscose,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7023,0,1,,,,0.0
IN,ID,EUROPE,ID,254900A4XA8N3H9L7T22,PT Total Oil Indonesia,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7023,0,1,,,,0.0
IN,ID,EUROPE,ID,254900NPCIO562Z7FN53,PT. Cikarang Listrindo Tbk,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7019,0,1,,,,0.0
IN,ID,EUROPE,ID,213800ADRX1T7C4V7Y36,"ALTRON INDONESIA, PT",ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7016,0,1,,,,0.0
IN,ID,EUROPE,ID,213800WGD5QUFTCMCH29,PT ROMAN CERAMIC INTERNATIONAL,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7009,0,1,,,,0.0
IN,ID,EUROPE,ID,213800F4FI1KSN8U7173,"RBS FINANCE INDONESIA, PT",ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7001,0,1,,,,0.0
IN,ID,EUROPE,ID,254900KU3TMRFXDJID10,"GLOBAL WIDJAJA ABADI, PT",ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.6999,0,1,,,,0.0
IN,ID,EUROPE,ID,254900GZHQ7RDBDWKJ22,PT Bank Shinhan Indonesia,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.6997,0,1,,,,0.0
