host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
PH,9845003DO90D2B871D10,OMEGA HEALTHCARE MANAGEMENT SERVICES INC.,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4609,0,1,1,NON_CONSOLIDATING,,,,,,,,,,US,0.4609,0.2169,US;DE;EUROPE,0.4609;0.244;0.1182,0,,,,,,,,
PH,254900NMHK1LQWO5H733,"ALFM PESO BOND FUND, INC.",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4608,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,US,0.4608,0.1696,US;DE;AMERICAS_OTHER,0.4608;0.2912;0.1221,0,,,,,,,,
PH,549300V444MLLOL40V54,"SUN LIFE PROSPERITY DYNAMIC FUND, INC.",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.46,0,1,1,NON_CONSOLIDATING,,,,,,,,,,US,0.46,0.1379,US;AMERICAS_OTHER;DE,0.46;0.3221;0.1296,0,,,,,,,,
PH,98450096FZC4703L5160,"PUBLICIS MANILA, INC.",PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4599,0,1,0,NATURAL_PERSONS,,,,,,,,,,DE,0.4599,0.2592,DE;AMERICAS_OTHER;EUROPE,0.4599;0.2007;0.1323,0,,,,,,,,
PH,98450079CB5E6FOEKT54,"ESSILOR MANUFACTURING PHILIPPINES, INC.",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4591,0,1,0,NATURAL_PERSONS,,,,,,,,,,US,0.4591,0.1581,US;DE;ASIA_OTHER,0.4591;0.301;0.0835,0,,,,,,,,
PH,254900UO1U1IEHCVF528,ALFM EURO BOND FUND INC.,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.459,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,US,0.459,0.3018,US;AMERICAS_OTHER;DE,0.459;0.1571;0.1253,0,,,,,,,,
PH,254900S1D4UAUERXGL63,SPI TECHNOLOGIES INC.,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.459,0,1,0,NO_LEI,,,,,,,,,,DE,0.459,0.2648,DE;EUROPE;US,0.459;0.1942;0.1214,0,,,,,,,,
PH,9845004DG48940AY0820,SUN REACHERS INC.,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4585,0,1,0,NATURAL_PERSONS,,,,,,,,,,DE,0.4585,0.2735,DE;EUROPE;AMERICAS_OTHER,0.4585;0.185;0.1771,0,,,,,,,,
PH,549300UB8238Q8UPD648,PAMI Asia Balanced Fund Inc.,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4578,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,US,0.4578,0.1544,US;DE;OTHER,0.4578;0.3034;0.0838,0,,,,,,,,
PH,8945004HCVXD5KQCNI06,"RURAL BANK OF SAN MATEO (ISABELA), INC.",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4578,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,US,0.4578,0.2407,US;DE;ASIA_OTHER,0.4578;0.2171;0.1182,0,,,,,,,,
PH,2549002PHMN9701C0T60,"UNAHCO, INC.",PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4577,0,1,0,NATURAL_PERSONS,,,,,,,,,,DE,0.4577,0.21,DE;EUROPE;US,0.4577;0.2478;0.1261,0,,,,,,,,
PH,549300Q859563J09SC88,31988 Foundation,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4572,0,1,0,NON_PUBLIC,,,,,,,,,,DE,0.4572,0.1001,DE;US;EUROPE,0.4572;0.3571;0.1218,0,,,,,,,,
PH,984500DB90BFRD7TB627,"Araw Technologies, Inc.",PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4571,0,1,0,NATURAL_PERSONS,,,,,,,,,,DE,0.4571,0.2495,DE;EUROPE;ASIA_OTHER,0.4571;0.2076;0.1147,0,,,,,,,,
PH,8945004AQJBCPDJJIM66,RBANK. OF ROSARIO (LA UNION) INC.,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4568,0,1,0,NATURAL_PERSONS,,,,,,,,,,US,0.4568,0.2087,US;DE;AMERICAS_OTHER,0.4568;0.2481;0.149,0,,,,,,,,
PH,894500X6D6QIVW6Q2C69,"Own Bank, The Rural Bank of Cavite City, Inc",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4557,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,US,0.4557,0.2511,US;DE;ASIA_OTHER,0.4557;0.2046;0.1267,0,,,,,,,,
PH,213800I63HUPTGAFY559,"SEAOIL PHILIPPINES, INC.",PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4554,0,1,0,NATURAL_PERSONS,,,,,,,,,,DE,0.4554,0.1408,DE;US;AMERICAS_OTHER,0.4554;0.3146;0.0831,0,,,,,,,,
PH,2549001PBA2MCQAWHX33,VSL International Ltd.,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4551,0,1,0,,,,,,,,,,,DE,0.4551,0.097,DE;US;EUROPE,0.4551;0.3581;0.0841,0,,,,,,,,
PH,254900BQRWJR4V1XY226,"MBG Equity Investment Fund, Inc.",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4537,0,1,0,NATURAL_PERSONS,,,,,,,,,,US,0.4537,0.2179,US;DE;OTHER,0.4537;0.2357;0.126,0,,,,,,,,
PH,549300F9ESZBV3DZ6E78,MANULIFE CHINA BANK LIFE ASSURANCE CORP - GLOBAL TARGET INCOME FUND,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4534,0,1,1,NON_CONSOLIDATING,,,,,,,,,,US,0.4534,0.1765,US;AMERICAS_OTHER;EUROPE,0.4534;0.2769;0.1006,0,,,,,,,,
PH,254900H2P6KET1UZLF84,PMFTC Inc. Philip Morris Philippines Manufacturing Inc. Multi Employer Retirement Benefit Plan,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4529,0,1,0,NATURAL_PERSONS,,,,,,,,,,US,0.4529,0.2787,US;DE;EUROPE,0.4529;0.1742;0.1486,0,,,,,,,,
PH,549300LOTFYYCSIC4770,AIA INVESTMENT MANAGEMENT AND TRUST CORPORATION PHILIPPINES UNDER THE NAMEAND STYLE OF AIAIM PH,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4527,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,US,0.4527,0.1861,US;AMERICAS_OTHER;EUROPE,0.4527;0.2666;0.1854,0,,,,,,,,
PH,2138009XN3KTAAKUPR35,JOLLIBEE FOODS CORPORATION,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4524,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,DE,0.4524,0.1569,DE;US;OTHER,0.4524;0.2955;0.0989,0,,,,,,,,
PH,254900Z505LF1NK52V56,AICOM MANPOWER SERVICES,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4522,0,1,0,NATURAL_PERSONS,,,,,,,,,,DE,0.4522,0.0912,DE;US;EUROPE,0.4522;0.361;0.1165,0,,,,,,,,
PH,254900CG8L5H405C9063,GOTYME BANK CORPORATION,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4515,0,1,0,NO_LEI,,,,,,,,,,DE,0.4515,0.1979,DE;US;EUROPE,0.4515;0.2535;0.1326,0,,,,,,,,
PH,549300NZIGN6CQ6F9A46,INTEGRATED MICRO-ELECTRONICS INC.,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4509,0,1,1,NON_CONSOLIDATING,,,,,,,,,,DE,0.4509,0.1173,DE;US;EUROPE,0.4509;0.3336;0.0595,0,,,,,,,,
PH,254900P57OOZ5AY5C521,Megaworld Corporation,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4504,0,1,0,NO_LEI,,,,,,,,,,DE,0.4504,0.2508,DE;US;EUROPE,0.4504;0.1996;0.1556,0,,,,,,,,
PH,5299001D8AFME8C20Q29,Schaeffler Philippines Inc.,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4501,0,1,1,NON_CONSOLIDATING,,,,,,,,,,US,0.4501,0.1491,US;DE;OFFSHORE,0.4501;0.301;0.0995,0,,,,,,,,
PH,2138002VZ5BXPOMO9J32,"FLY ACE HOLDINGS, INC.",PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4493,0,1,0,NATURAL_PERSONS,,,,,,,,,,DE,0.4493,0.2997,DE;EUROPE;ASIA_OTHER,0.4493;0.1496;0.1459,0,,,,,,,,
PH,2549003WBGIWUSNRZX59,PHILEX MINING CORP.,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4492,0,1,0,NON_PUBLIC,,,,,,,,,,DE,0.4492,0.1938,DE;US;EUROPE,0.4492;0.2554;0.1554,0,,,,,,,,
PH,549300IU4MWWNXLYOH47,SITEL PHILIPPINES CORPORATION,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4492,0,1,1,NON_CONSOLIDATING,,,,,,,,,,DE,0.4492,0.0949,DE;US;OTHER,0.4492;0.3543;0.0599,0,,,,,,,,
PH,9845006E6C16YS9ED470,HH CONSULTING INC.,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4485,0,1,0,NATURAL_PERSONS,,,,,,,,,,DE,0.4485,0.2646,DE;EUROPE;AMERICAS_OTHER,0.4485;0.1839;0.1644,0,,,,,,,,
PH,549300TH4BNEB622D314,"WRIGLEY PHILIPPINES, INCORPORATED",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4484,0,1,0,,,,,,,,,,,US,0.4484,0.159,US;DE;OFFSHORE,0.4484;0.2895;0.0806,0,,,,,,,,
PH,549300HBCE80QXKII590,SAN MIGUEL GLOBAL POWER HOLDINGS CORP.,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4472,0,1,1,NON_CONSOLIDATING,,,,,,,,,,US,0.4472,0.253,US;DE;EUROPE,0.4472;0.1943;0.144,0,,,,,,,,
PH,549300DXFOJWFCYAGP78,NALCO PHILIPPINES INC.,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4466,0,1,0,NON_PUBLIC,,,,,,,,,,DE,0.4466,0.0493,DE;US;EUROPE,0.4466;0.3973;0.0478,0,,,,,,,,
PH,254900ZDHUHW37PF0W24,"NCM MUTUAL FUND OF THE PHILS., INC.",PH,,,,,,,,,,,,,AMERICAS_OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4465,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,AMERICAS_OTHER,0.4465,0.2249,AMERICAS_OTHER;US;EUROPE,0.4465;0.2216;0.1203,0,,,,,,,,
PH,254900JLQP5HFUXXQK21,"Phoenix Petroleum Philippines, Inc.",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4455,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,US,0.4455,0.1426,US;DE;EUROPE,0.4455;0.3029;0.0707,0,,,,,,,,
PH,8945006FKM6W59TJLJ32,AHAV Business Process Outsourcing Services,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4443,0,1,0,NATURAL_PERSONS,,,,,,,,,,US,0.4443,0.1786,US;DE;EUROPE,0.4443;0.2657;0.1247,0,,,,,,,,
PH,254900DFNVPKG3WZ7O76,"GPay Network PH, Inc.",PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4443,0,1,0,NON_PUBLIC,,,,,,,,,,DE,0.4443,0.285,DE;US;EUROPE,0.4443;0.1593;0.151,0,,,,,,,,
